"","Marital.status","Application.order","Course","Daytime.evening.attendance","Previous.qualification","Nacionality","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","International","Target"
"249","Single",3,11,1,1,1,"1","0","0","1","0","0",21,"0","Graduate"
"250","Single",1,14,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"251","Single",3,5,1,1,1,"1","0","0","1","0","0",19,"0","Enrolled"
"252","Single",3,15,1,1,1,"1","0","0","1","0","1",18,"0","Dropout"
"253","Single",1,6,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"254","Single",1,15,1,1,1,"1","0","0","1","0","0",18,"0","Enrolled"
"255","Single",1,9,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"256","Married",1,13,1,12,1,"1","0","1","0","0","1",37,"0","Dropout"
"257","Single",1,17,0,15,1,"0","0","0","1","0","0",29,"0","Graduate"
"258","Single",3,5,1,1,1,"0","0","0","1","0","0",18,"0","Enrolled"
"259","Single",1,10,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"260","Single",1,10,1,1,1,"1","0","1","0","0","0",22,"0","Dropout"
"261","Single",1,11,1,1,1,"0","0","0","1","0","1",20,"0","Graduate"
"262","Single",1,3,0,1,1,"0","0","0","1","0","0",34,"0","Dropout"
"263","Single",1,7,1,1,1,"0","0","1","0","0","0",30,"0","Dropout"
"264","Single",1,10,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"265","Single",1,10,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"266","Single",2,15,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"267","Single",4,12,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"268","Single",2,15,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"269","Single",1,5,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"270","Single",5,12,1,1,1,"0","0","0","1","0","1",18,"0","Graduate"
"271","Single",1,4,1,14,1,"0","0","0","1","0","1",21,"0","Graduate"
"272","Single",2,9,1,1,1,"1","0","0","0","0","0",20,"0","Dropout"
"273","Single",1,9,1,1,1,"1","0","0","1","0","0",20,"0","Graduate"
"274","Single",1,12,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"275","Single",1,10,1,1,1,"0","0","0","1","0","0",20,"0","Graduate"
"276","Single",3,12,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"277","Single",1,16,1,1,1,"0","0","0","1","0","0",20,"0","Dropout"
"278","Married",1,8,1,3,1,"0","0","1","0","0","0",29,"0","Dropout"
"279","Single",1,12,1,1,1,"0","0","0","1","0","1",18,"0","Enrolled"
"280","Single",1,12,1,1,1,"1","0","0","1","0","1",20,"0","Graduate"
"281","Single",2,9,1,1,1,"1","0","0","1","0","1",22,"0","Graduate"
"282","Divorced",1,3,0,1,1,"1","0","0","1","0","1",47,"0","Graduate"
"283","Married",1,17,0,1,1,"0","0","0","1","0","0",31,"0","Graduate"
"284","Single",1,5,1,1,1,"0","0","0","1","0","1",21,"0","Graduate"
"285","Single",1,3,0,1,1,"0","0","0","1","0","0",21,"0","Graduate"
"286","Married",1,15,1,9,1,"0","0","0","1","0","0",24,"0","Graduate"
"287","Single",1,5,1,1,1,"0","0","0","1","0","0",18,"0","Enrolled"
"288","Single",1,3,0,11,1,"0","0","0","1","0","0",32,"0","Graduate"
"289","Single",2,3,0,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"290","Single",1,12,1,1,1,"1","0","0","1","0","0",24,"0","Graduate"
"291","Single",4,6,1,1,1,"1","0","0","1","0","0",19,"0","Graduate"
"292","Single",1,4,1,14,1,"0","0","1","1","0","1",19,"0","Graduate"
"293","Single",1,4,1,14,1,"0","0","0","1","0","0",24,"0","Enrolled"
"294","Single",4,10,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"295","Single",1,5,1,1,1,"1","0","0","1","0","1",19,"0","Dropout"
"296","Married",1,12,1,1,1,"0","0","0","1","0","1",19,"0","Graduate"
"297","Single",2,15,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"298","Single",1,10,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"299","Single",4,13,1,1,1,"1","0","0","1","0","0",20,"0","Graduate"
"300","Single",1,12,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"301","Single",4,14,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"302","Single",2,6,1,1,1,"1","0","0","1","0","1",21,"0","Graduate"
"303","Single",1,12,1,1,1,"0","0","0","1","0","1",18,"0","Graduate"
"304","Single",1,14,1,1,1,"0","0","1","0","0","0",18,"0","Dropout"
"305","Single",2,10,1,1,1,"1","0","0","1","0","0",19,"0","Dropout"
"306","Single",1,14,1,1,1,"1","0","0","1","0","0",19,"0","Enrolled"
"307","Single",4,14,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"308","Single",1,8,1,3,1,"1","0","0","1","0","0",34,"0","Dropout"
"309","Single",3,6,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"310","Single",1,8,1,14,1,"1","0","1","0","0","0",19,"0","Dropout"
"311","Single",1,10,1,1,1,"0","0","1","1","0","0",26,"0","Graduate"
"312","Single",1,16,1,1,1,"1","0","0","1","0","0",21,"0","Dropout"
"313","Single",2,9,1,1,1,"0","0","0","1","0","1",18,"0","Graduate"
"314","Single",4,16,1,1,1,"1","0","0","1","0","1",20,"0","Graduate"
"315","Single",1,9,1,1,1,"0","0","0","1","0","0",25,"0","Dropout"
"316","Single",1,9,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"317","Single",1,12,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"318","Single",1,12,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"319","Single",1,10,1,1,1,"0","0","0","1","0","1",18,"0","Graduate"
"320","Single",1,12,1,1,1,"0","0","0","1","0","0",20,"0","Enrolled"
"321","Single",1,6,1,15,1,"0","0","1","0","0","0",26,"0","Dropout"
"322","Single",1,12,1,1,1,"1","0","0","1","0","1",19,"0","Graduate"
"323","Single",1,12,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"324","Single",4,9,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"325","Single",3,6,1,1,1,"1","0","0","1","0","0",19,"0","Enrolled"
"326","Single",1,11,1,1,1,"1","0","0","1","0","0",18,"0","Graduate"
"327","Single",1,12,1,6,1,"1","0","0","1","0","0",19,"0","Graduate"
"328","Single",1,10,1,1,1,"0","0","1","1","0","0",18,"0","Graduate"
"329","Single",1,16,1,1,1,"1","0","0","1","0","0",18,"0","Enrolled"
"330","Single",1,6,1,1,1,"1","0","0","1","0","0",18,"0","Enrolled"
"331","Single",1,16,1,1,1,"1","0","0","1","0","0",18,"0","Enrolled"
"332","Single",1,7,1,14,1,"0","0","1","1","0","0",26,"0","Dropout"
"333","Single",1,10,1,1,1,"1","0","0","1","0","0",20,"0","Graduate"
"334","Single",1,3,0,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"335","Single",1,10,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"336","Single",1,10,1,14,1,"0","0","0","1","0","0",19,"0","Graduate"
"337","Single",1,16,1,15,1,"0","0","1","1","0","0",40,"0","Graduate"
"338","Single",4,12,1,1,1,"1","0","0","1","0","1",18,"0","Graduate"
"339","Single",1,10,1,1,1,"0","0","0","1","0","0",19,"0","Graduate"
"340","Single",1,8,1,1,1,"0","0","0","1","0","0",18,"0","Graduate"
"341","Single",1,6,1,1,1,"1","0","0","1","0","0",19,"0","Enrolled"
"342","Single",1,2,1,1,1,"1","0","0","1","0","0",18,"0","Dropout"
"343","Married",1,3,0,1,1,"1","0","0","1","0","0",33,"0","Graduate"
